tag,seq_len,horizon,num_layers,hidden_size,signal_threshold,num_folds,test_rmse,test_mae,test_r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,sortino_annualized,hit_rate,turnover,max_drawdown,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy
seq84_h1_l2_h256,84,1,2,256,0.0015,3,0.0460908524692058,0.031421311199665,0.4029155971834451,-29.944742956294327,0.0,6012,27.630883699124617,56.30059956115332,213.45779896947084,0.498502994011976,0.5683494044242768,-0.0334636206388516,3143,2869,0.7335120796855727,0.8157019294743846
seq6_h12_l3_h128,6,12,3,128,0.0015,3,0.0480284132063388,0.0341930203139781,0.348904682799489,-29.72775092731917,0.0,6339,27.596893454840615,56.49109969113775,197.4266395284951,0.5223221328285218,0.599262620533182,-0.0352725770299429,3634,2705,0.7160780755496592,0.7941315664931378
seq48_h1_l3_h128,48,1,3,128,0.0015,3,0.0461535044014453,0.0318836458027362,0.3995880781386461,-29.68467164608435,0.0,6217,27.56108598560667,55.925991661015,203.57529038936516,0.5259771594016407,0.5877292493855171,-0.0320746975959735,3563,2654,0.7299257812088905,0.8039247225349847
seq84_h1_l3_h128,84,1,3,128,0.0015,3,0.0463399365544319,0.0323004573583602,0.3964447748171655,-29.21834142274994,0.0,6134,27.541178640486784,55.95334707594689,217.97353546126024,0.5332572546462341,0.5798827755719418,-0.0320746975959735,3727,2407,0.7289770175149007,0.8011085751548744
seq12_h24_l3_h256,12,24,3,256,0.0015,3,0.0479471199214458,0.0346274524927139,0.3518427710855973,-30.538189861268584,0.0,6280,27.5389535864999,55.8760236740894,180.225794722602,0.5292993630573248,0.593685006617508,-0.0688314994650163,3699,2581,0.7214272930581535,0.7998407643312102
seq84_h1_l3_h256,84,1,3,256,0.0015,3,0.04624879732728,0.0317603461444377,0.3988164617359581,-29.66859938479913,0.0,5969,27.490258525657893,55.71993377983202,210.0885877880609,0.5223655553694087,0.5642843637738703,-0.0320746975959735,3483,2486,0.7309657535247336,0.8115262187971184
seq6_h12_l2_h128,6,12,2,128,0.0015,3,0.0476871468126773,0.0335108935832977,0.358124576844956,-30.183674147786935,0.0,6030,27.441092618359775,56.44253324062345,192.7641878496541,0.5233830845771145,0.5700510493477028,-0.0365236473741532,3413,2617,0.7189987455370622,0.8104477611940298
seq48_h1_l3_h256,48,1,3,256,0.0015,3,0.0461252257227897,0.0316929444670677,0.4003236570399384,-29.7434347513462,0.0,6186,27.34217639876816,55.72189858583013,206.6356974266793,0.5205302295505981,0.5847986386840612,-0.0320746975959735,3594,2592,0.7281977037715218,0.8005172971225347
seq6_h12_l3_h256,6,12,3,256,0.0015,3,0.0482480600476264,0.0341604724526405,0.3429357828048403,-29.212874714674857,0.0,6576,27.320109713652936,55.77801651200463,190.83575914846935,0.5124695863746959,0.6216676120249575,-0.0354703910783058,3711,2865,0.7096518484690788,0.7793491484184915
seq6_h12_l2_h256,6,12,2,256,0.0015,3,0.0478223077952861,0.0329055674374103,0.3544808483807848,-29.96922761278389,0.0,6036,27.24815673511334,56.33480363852589,189.1418310742414,0.4910536779324055,0.5706182643221781,-0.0376846908707143,2823,3213,0.7228494967554004,0.8119615639496355
seq48_h1_l2_h128,48,1,2,128,0.0015,3,0.0461987517774105,0.0319799892604351,0.3984103038665754,-29.33004120203889,0.0,6049,27.245886724151077,55.63036118880907,215.5978202496977,0.5328153413787403,0.571847230100208,-0.0320746975959735,3608,2441,0.7279826031588417,0.8014547859150273
seq12_h24_l2_h256,12,24,2,256,0.0015,3,0.048388373106718,0.0338682867586612,0.3398579090758454,-29.448805613285128,0.0,6488,27.228480692610805,54.79464677109617,161.33392464840827,0.4895191122071516,0.613348459065986,-0.0757470494498555,3016,3472,0.7205283332327682,0.7956226880394575
seq6_h24_l3_h256,6,24,3,256,0.0015,3,0.0487518310546875,0.0345984175801277,0.3296456041580065,-29.216851733522308,0.0,6256,27.112722584123773,54.74333944459914,164.48743955294523,0.4915281329923274,0.5914161467196067,-0.0795126133977213,2983,3273,0.720084771453563,0.8005115089514067
seq48_h1_l2_h256,48,1,2,256,0.0015,3,0.0465039238333702,0.0318900570273399,0.3904362661308665,-29.009603633168297,0.0,6163,27.09158674968873,55.28889626946561,201.0911080651638,0.496186921953594,0.5826243146152392,-0.0320746975959735,3160,3003,0.7271161702901897,0.8010709070257991
seq12_h24_l2_h128,12,24,2,128,0.0015,3,0.0479260832071304,0.0333798341453075,0.3524113927448361,-30.554883371578825,0.0,6186,27.088534678233977,55.02055986464664,166.84326130935918,0.486905916585839,0.5847986386840612,-0.0695702494193195,2884,3302,0.7241068025882571,0.8053669576462981
seq6_h24_l2_h256,6,24,2,256,0.0015,3,0.0482358485460281,0.0335204824805259,0.3437603747897143,-30.26878313918124,0.0,6113,26.98831431188628,54.95282101750761,168.13666299200767,0.4855226566334042,0.5778975231612781,-0.0711288599736974,2899,3214,0.7211386543173159,0.8064779977097988
seq6_h24_l3_h128,6,24,3,128,0.0015,3,0.0484508275985717,0.0344339050352573,0.3378977758310758,-29.56850232245215,0.0,6096,26.925575198969184,54.96084878421067,175.98693438041914,0.5101706036745407,0.5762904140669314,-0.0678358374596506,3325,2771,0.7169817358089707,0.801017060367454
seq6_h24_l2_h128,6,24,2,128,0.0015,3,0.0483704917132854,0.034478198736906,0.3400916515316793,-29.954296886004908,0.0,5982,26.746738419623934,54.44672884981929,174.82057504587598,0.5250752256770311,0.5655133295519001,-0.0686676652362017,3488,2494,0.7147374960138957,0.7985623537278502
