section,group,horizon,common_rows,atm_column,lstm_model,baseline_model,dm_stat_overall_mse,dm_p_value_overall_mse,dm_stat_atm_mse,dm_p_value_atm_mse,model,family,region,num_columns,rmse,mae,r2,regime,regime_threshold_atm_iv,forecast_rmse,forecast_mae,forecast_r2,num_rows,num_trades,net_pnl,gross_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,long_trades,short_trades,signal_realized_corr,profit_factor,scenario,scenario_description,threshold,holding_period_bars,round_trip_cost_bps,net_pnl_compression_pct_vs_base,study,condition,test_rmse,test_mae,test_r2,variant,shape_projection_enabled,smoothness_penalty,pred_adjacent_abs_diff,pred_second_diff_abs,pred_second_diff_rms,multi_kink_fraction,avg_slope_sign_changes
execution_sensitivity,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,,,,,,,6555.0,3.0184467677676463,,0.5069412662090008,0.1549205899035734,25.612303319703987,-0.0269294951885461,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.0015,1.0,25.0,30.28100517969825,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,,,,,,,6555.0,3.3461967677676463,,0.5069412662090008,0.1549205899035734,28.319339206775023,-0.0238794951885439,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.0015,1.0,23.0,22.710753884773688,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,,,,,,,6555.0,2.035196767767646,,0.5069412662090008,0.1549205899035734,17.377831979160074,-0.0670015805695718,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.0015,1.0,31.0,52.99175906447197,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,,,,,,,6012.0,4.5029209065423075,,0.498502994011976,0.1420873511060692,38.23391397241884,-0.0156656640366432,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.0015,1.0,17.0,0.0,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,,,,,,,6012.0,3.3005209065423067,,0.498502994011976,0.1420873511060692,28.442332647070977,-0.0295222897726827,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.0015,1.0,25.0,26.70266755636392,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,,,,,,,6012.0,3.601120906542307,,0.498502994011976,0.1420873511060692,30.930190784890875,-0.0260156640366395,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.0015,1.0,23.0,20.02700066727294,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,,,,,,,6012.0,2.3987209065423065,,0.498502994011976,0.1420873511060692,20.843276414918225,-0.0421774714114273,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.0015,1.0,31.0,46.72966822363685,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,,,,,,,4059.0,4.081638484223216,,0.5225424981522543,0.0970309810671256,37.95810037873261,-0.0096181443948397,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.0025,12.0,17.0,0.0,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,,,,,,,4059.0,3.269838484223216,,0.5225424981522543,0.0970309810671256,31.14069876315791,-0.0100181443948397,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.0025,12.0,25.0,19.889071585782418,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,,,,,,,4059.0,3.4727884842232166,,0.5225424981522543,0.0970309810671256,32.89027245610818,-0.0099181443948395,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.0025,12.0,23.0,14.916803689336804,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,,,,,,,4059.0,2.660988484223216,,0.5225424981522543,0.0970309810671256,25.72432911753199,-0.0130360933580929,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.0025,12.0,31.0,34.80587527511924,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,,,,,,,3776.0,4.220917736404802,,0.5346927966101694,0.0902658252055842,39.7675051601246,-0.0096101308132661,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.0025,12.0,17.0,0.0,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,,,,,,,3776.0,3.4657177364048017,,0.5346927966101694,0.0902658252055842,33.53721050786569,-0.010610130813266,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.0025,12.0,25.0,17.891843602790694,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,,,,,,,3776.0,3.6545177364048023,,0.5346927966101694,0.0902658252055842,35.14138599749566,-0.0103601308132661,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.0025,12.0,23.0,13.41888270209301,,,,,,,,,,,,,
execution_sensitivity,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,,,,,,,3776.0,2.8993177364048015,,0.5346927966101694,0.0902658252055842,28.547428318568603,-0.0114272876873184,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.0025,12.0,31.0,31.310726304883712,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,,,,,,,2576.0,3.0427992491005575,,0.5163043478260869,0.0613684009910425,32.72313589849619,-0.0139489958763439,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.003,24.0,17.0,0.0,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,,,,,,,2576.0,2.5275992491005574,,0.5163043478260869,0.0613684009910425,28.01931907487896,-0.0159917438784227,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.003,24.0,25.0,16.931777545044802,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,,,,,,,2576.0,2.6563992491005575,,0.5163043478260869,0.0613684009910425,29.23526788703751,-0.0154417438784235,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.003,24.0,23.0,12.698833158783602,,,,,,,,,,,,,
